"|","|__CompanyName1","|__CompanyName2","|__Tel","|__Address1","|__Email","|__BusinessHours","|__Charges","|__SportType","|__SportType1","|__CompanyNo","|__LatLng"
"24","博愛創意股份有限公司","草山樂活建康工作室","02 2862 2256","臺北市中山區林森北路351號22樓之1","","預約制","","12 運動保健業","體適能","55822711","25.0569603,121.5234746"
"25","放手做有限公司","To Do Fitness","02 2712 0081","臺北市松山區南京東路4段15號3樓之1","todofitness0914@gmail.com","09:00:00-22:00:00","","09 運動場館或設施營建業","健身房","82814840","25.0519231,121.5478453"
"26","觀示苑股份有限公司","觀示苑SPACE CYCLE","02 2773 8108","臺北市大安區仁愛路4段200號13樓","legalwithinstace@gmail.com","06:00:00-23:00:00","","09 運動場館或設施營建業","瑜珈","27546052","25.0373449,121.5536482"
"27","艾倫運動管理顧問有限公司","Boxing One 中山拳館","02 3322 1623","臺北市中正區忠孝東路1段138號5樓","support@boxing-one.com","11:00:00-22:00:00","","09 運動場館或設施營建業","泰拳","53101105","25.0440642,121.5233296"
"28","史達特有限公司","Start Fitness","02 2358 1686","臺北市大安區金山南路2段134號","startlifefitness134@gmail.com","08:00:00-22:00:00","","09 運動場館或設施營建業","健身房","82877582","25.0296039,121.5240743"
"29","尖乒運動行銷股份有限公司","大台北桌球會館","02 2769 5965","臺北市松山區南京東路5段46號地下樓","yctu1952@gmail.com","預約制","","09 運動場館或設施營建業","桌球","53942347","25.0512944,121.557648"
"30","巨石動力有限公司","SomebodyFitness 建國店","02 2778 6385","臺北市中山區建國北路1段38號B1","","預約制","","09 運動場館或設施營建業","健身房","50869841","25.0474167,121.5340725"
"31","推動力運動顧問有限公司","推力運動空間","","臺北市大安區和平東路2段163號1樓","","10:00:00-21:00:00","","09 運動場館或設施營建業","健身房","24751059","25.0253294,121.5393463"
"32","麥克王運動訓練有限公司","麥克王運動訓練班","02 2658 0170","臺北市內湖區江南街65巷6號1樓","michaelwangfitnesstraining@gmail.com","預約制","","09 運動場館或設施營建業","體適能","52210386","25.0773153,121.5761414"
"33","渴望健康有限公司","渴望 健康訓護中心","02 2391 1933","臺北市中正區信義路2段79巷28號1樓","justyearn1933@gmail.com","07:00:00-20:00:00","","09 運動場館或設施營建業","體適能","24942776","25.035736,121.5247377"
"34","降龍總武股份有限公司","降龍總武","02 2322 2699","臺北市中正區杭州南路1段10號地下室","","14:30:00-22:30:00","","09 運動場館或設施營建業","武術","82800557","25.0430557,121.5242503"
"35","妮飛體適能事業股份有限公司","妮飛體適能","02 26271096","臺北市內湖區瑞湖街99號1樓","nifei201601@gmail.com","11:00:00-21:00:00","","09 運動場館或設施營建業","體適能","52311259","25.0734454,121.5739559"
"36","耶和華以樂有限公司","Jessica's Fitness","919774104","臺北市南港區中南街140之5號1樓","","08:00:00-22:00:00","","09 運動場館或設施營建業","體適能","50907113","25.0518668,121.6126933"
"37","鑫趨勢運動事業有限公司","PULSE Gym台北中山店","02 2552 2892","臺北市大同區南京西路30號2樓","","10:00:00-23:00:00","","09 運動場館或設施營建業","體適能","54942865","25.0525979,121.5176836"
"38","菲力士國際企業有限公司","雪地運動用品","","臺北市內湖區內湖路1段120巷21號1樓","","09:00:00-18:00:00","","10 運動用品或器材製造、批發及零售業","極限運動","22457592","25.081735,121.56236"
"39","達文西育樂有限公司","curves信義通化店","02 2704 3470","臺北市大安區信義路4段263號3樓之1","Tonghua@curves.com.tw","10:30:00-13:30:00 15:30:00-20:","","09 運動場館或設施營建業","健身房","28852156","25.033415,121.5519189"
"40","飛特體能顧問有限公司","飛特體能顧問有限公司","02 2791 7029","臺北市內湖區金湖路16號1樓","minyen214@gmail.com","09:00:00-22:00:00","","09 運動場館或設施營建業","健身房","52489109","25.0833641,121.5937776"
"41","冠競健康事業股份有限公司","UFC GYM TAIWAN","02 2799 6666","臺北市內湖區洲子街55-57號1樓","yoyo.sy.chiang@ufcgym.com.tw","學員制","","09 運動場館或設施營建業","健身房","42991995","25.0791881,121.5734479"
"42","智庫健身股份有限公司","健身魂 soul fit","02 8663 2713","臺北市文山區興隆路3段71號及地下","","07:00:00-24:00:00","","09 運動場館或設施營建業","健身房","85110723","25.0001004,121.5543378"
"43","極塑股份有限公司","極塑股份有限公司(西們店)","02 2312 0489","臺北市中山區建國北路二段123號2樓","","09:00:00-22:00:00","","09 運動場館或設施營建業","健身房","24982431","25.059973299424787, 121.53739164008704"
"44","耀正佳德股份有限公司","Boxing+ welless center","02 2521 1798","臺北市中山區南京東路2段8號地下1樓","edit@boxingplus.com.tw","09:00:00-22:00:00","","09 運動場館或設施營建業","武術","24753140","25.0519049,121.5264092"
"45","馳洋有限公司","Curves內湖成功店","02 2794 8659","臺北市內湖區成功路4段34號2樓","Neihu@Curves.com.tw","11:00:00-20:30:00","","09 運動場館或設施營建業","健身房","24777608","25.0818161,121.5894877"
"46","艾斯克健身有限公司","健身活 Living Fitness","02 2100 1680","臺北市中山區林森北路96號2樓","LivingFitness96@gmail.com","10:00:00-22:30:00","","09 運動場館或設施營建業","健身房","83835246","25.0500909,121.5224972"
"47","原力健康事業股份有限公司","Force Fitness 中正店","02 2396 9996","臺北市中正區南昌路2段192號2樓之1.之2","ForceFitness05@gmail.com","11:30:00-22:30:00","","09 運動場館或設施營建業","健身房","24758150","25.0242876,121.5218197"
"48","褒綠美股份有限公司","我的樂活生活館","02 2361 1315","臺北市中正區襄陽路13之5號4樓","lohans23611315@gmail.com","預約制","","09 運動場館或設施營建業","體適能","53936823","25.0435425,121.5133156"
"49","好習慣健康企業有限公司","好習慣運動教室","02 2716 8620","臺北市松山區復興北路217號","","09:00:00-22:00:00","","09 運動場館或設施營建業","健身房","50771517","25.0566583,121.5422398"
"50","英屬維京群島商維利優健身有限公司","Viva fit","02 2752 3111","臺北市大安區復興南路1段213號6樓","t001@vivafit.com.tw","07:30:00-21:30:00","","09 運動場館或設施營建業","健身房","54388205","25.039305,121.5417646"
"51","烈焰運動事業有限公司","TMMA台北格鬥運動館內科館","02 2658 1177","臺北市內湖區內湖路1段411巷10之2號","tangai_wu@tmma.com.tw","09:30:00-22:00:00","","09 運動場館或設施營建業","綜合武術格鬥","50751054","25.0824808,121.5688393"
"52","美日瑜珈有限公司","美日瑜珈有限公司","","臺北市中山區長安東路2段62號3樓","","預約制","","09 運動場館或設施營建業","瑜珈","82832896","25.0483455,121.5312445"
"53","艾德蒙健身有限公司","XareFIT 享健身","","臺北市大安區信義路4段199巷3號地下","","課程制","","09 運動場館或設施營建業","健身房","24577600","25.0336986,121.549557"
"54","曲律國際有限公司","曲律國際有限公司","","臺北市萬華區青年路30巷2之3號","","預約制","","09 運動場館或設施營建業","健身房","42626293","25.0265837,121.5033002"
"55","萊珂運動有限公司","萊珂運動有限公司","","臺北市內湖區文德路22巷39號1樓","","學員預約制","","08 運動經紀、管理顧問或行政管理業","溜冰","82870814","25.0762762,121.5780062"
"56","摩爾菲特國際有限公司","More Fit","02 2339 0002","臺北市中正區三元街200號1樓","","預約制","","09 運動場館或設施營建業","健身房","52597727","25.0276581,121.509758"
"57","馬拉松創意生活有限公司","森林跑站","02 2321 8834","臺北市大安區新生南路2段60號","service@rumbase.com.tw","08:00:00-21:00:00","","01 職業或業餘運動業","體適能","42621889","25.028465,121.5319443"
"58","金霸泰拳有限公司","king box muay thai center","","臺北市松山區南京東路4段45號2樓之1","","課程制","","09 運動場館或設施營建業","武術","50906206","25.051927,121.5485683"
"59","麥威肌力體能股份有限公司","MY WAY","02 8772 4271","臺北市中山區復興南路1段2號地下1樓","mywayfitnesssc@gmail.com","07:00:00-24:00:00","","09 運動場館或設施營建業","健身房","42996350","25.0471223,121.5414462"
"60","柔昱健康事業有限公司","Royal yoga","02 2364 6433","臺北市大安區羅斯福路2段91號地下1樓","","07:00:00-22:00:00","","09 運動場館或設施營建業","舞蹈","25108387","25.022693,121.5240783"
"61","匹塔有限公司","PEETA FITNESS","02 2541 0279","臺北市中山區長安東路2段53號2樓","peetagage@gmail.com","10:00:00-22:00:00","","09 運動場館或設施營建業","體適能","24927923","25.0485887,121.5304475"
"62","世紀星國際滑冰有限公司","世紀星滑冰世界","02 7726 6786","臺北市中山區敬業三路123號3樓","","11:00:00-22:00:00","","08 運動經紀、管理顧問或行政管理業","溜冰","53917065","25.0810846,121.5532756"
"63","星瑞運動有限公司","星瑞運動有限公司","","臺北市內湖區文德路22巷39號1樓","","學員預約制","","08 運動經紀、管理顧問或行政管理業","溜冰","82870835","25.0762762,121.5780062"
"64","思伯有限公司","Curves文林店","02 2837 0020","臺北市士林區文林路762號2樓","zhishan@curves.com.tw","15:00:00-21:00:00","","09 運動場館或設施營建業","健身房","50785792","25.103524,121.5176033"
"65","六藝瑜伽事業有限公司","六藝瑜伽事業有限公司","","臺北市中山區建國北路3段80巷2號8樓","","預約制","","13 其他經中央主管機關認定之產業","瑜珈","42637931","25.0657154,121.5333082"
"66","好庭有限公司","Melody fitness studio","","臺北市大安區信義路4段151號7樓之3","","預約制","","09 運動場館或設施營建業","體適能","52655958","25.0334437,121.5476313"
"67","怪獸健身實業股份有限公司","怪獸健身實業股份有限公司","","臺北市松山區民生東路4段53號7樓","","預約制","","09 運動場館或設施營建業","健身房","66661419","25.058193, 121.550411"
"68","光之舞科技運動有限公司","light worker 私人運動招待所","02 8501 5881","臺北市中山區樂群二路187號5樓之2","lightworker0506@gmail.com","預約制","","09 運動場館或設施營建業","體適能","45040506","25.0799656,121.556332"
"69","戴特有限公司","Curves北投店","02 2893 6585","臺北市北投區磺港路8號4樓-8之1號4樓","Beitou@Curves.com.tw","09:00:00-11:30:00 15:00:00-20:","","09 運動場館或設施營建業","健身房","53917092","25.133249,121.4999063"
"70","誠觀有限公司","昊元仙宗","","臺北市中山區長安東路1段21號11樓","","學員預約制","","09 運動場館或設施營建業","武術","53555416","25.0497068,121.5211275"
"71","喬傑瑞國際有限公司","瘋動健身工作室 Hive fitness","02 2234 6334","臺北市文山區興隆路4段54之8號1樓","Hivefitnesstw@gmail.com","預約制","","09 運動場館或設施營建業","健身房","55838713","24.9858483,121.5588435"
"72","孚榮哥有限公司","Curves市府永春店","02 2756 6078","臺北市信義區忠孝東路5段259號3樓","Yongchun@Curves.com.tw","學員預約制","","09 運動場館或設施營建業","健身房","24575672","25.0411869,121.5685963"
"73","賦能整合運動顧問股份有限公司","enable賦能運動科學","02 2713 0678","臺北市松山區南京東路4段21號3樓之2","enable.ptsc@gmail.com","預約制","","09 運動場館或設施營建業","健身房","50901309","25.0519643,121.5481702"
"74","群安健康事業有限公司","群康皮拉提斯","02 2706 8858","臺北市大安區復興南路1段283號8樓","smartcaredn@gmail.com","學員預約制","","09 運動場館或設施營建業","體適能","43642291","25.0355132,121.5417387"
"75","台灣智慧尖端科技股份有限公司","台灣智慧尖端科技股份有限公司","","臺北市中山區中原街3號","","學員預約制","","09 運動場館或設施營建業","體適能","43736353","25.0552686,121.5267209"
"76","博俊體能事業有限公司","KAT Fitness","02 2765 6586","臺北市信義區永吉路302號地下之1","katfitnessgym@gmail.com","學員預約制","","09 運動場館或設施營建業","健身房","52895009","25.0453259,121.5726892"
"77","玉悍有限公司","Core space","02 2706 8090","臺北市大安區復興南路2段27號地下一層之1至之37","","08:00:00-22:00:00","","09 運動場館或設施營建業","健身房","42861493","25.0320868,121.5416704"
"78","超越健身工坊有限公司","超越健身工坊","02 2711 5926","臺北市大安區安和路1段21巷7號","surpusstaipei@gmail.com","預約制","","09 運動場館或設施營建業","健身房","24972573","25.0395782,121.5482475"
"79","波恩體能訓練有限公司","波克萊體能顧問","02 2721 6675","臺北市大安區和平東路3段406巷8號","dvdntrsfit.info@gmail.com","學員預約制","","09 運動場館或設施營建業","體適能","24944269","25.018484, 121.557997"
"80","超悅股份有限公司","超悅建身中心","02 2388 4898","臺北市中正區愛國西路9號地下1層","","07:30:00-22:30:00","","09 運動場館或設施營建業","健身房","50779258","25.0373206,121.5055921"
"81","三人行運動事業有限公司","WTF wow training fitness","02 2773 8338","臺北市大安區仁愛路4段27巷18號1樓","wowtrainingfitness@gmail.com","13:00:00-22:00:00","","09 運動場館或設施營建業","健身房","85132220","25.0400887,121.5428693"
"82","維康生活股份有限公司","前勁體能訓練中心","02 2785 9791","臺北市南港區忠孝東路5段970號地下","akrofitnessto@gmail.com","08:00:00-22:00:00 09:00:00-17:","","09 運動場館或設施營建業","健身房","66478095","25.044263,121.5801253"
"83","菲妮絲有限公司","Curves社子延平店","02 2813 3066","臺北市士林區延平北路5段307號2樓","shezi@curves.com.tw","14:30:00-20:30:00","","09 運動場館或設施營建業","健身房","52872012","25.0862249,121.5070759"
"84","生命焠鍊體能顧問有限公司","TLF淬鍊體能訓練中心","02 8771 5792","臺北市大安區忠孝東路4段303號地下一層","tlfservice@gmail.com.tw","學員預約制","","09 運動場館或設施營建業","健身房","24972341","25.0416,121.5532213"
"85","怪獸健力有限公司","怪獸健力有限公司(永和)","02 2922 7277","臺北市松山區民生東路4段53號7樓","","06:00:00-00:00:00","","09 運動場館或設施營建業","健身房","42652587","25.0580088,121.5482224"
"86","承華有限公司","承華武學","0935 879 383","臺北市中山區市民大道3段33號1樓","","預約班","","09 運動場館或設施營建業","武術","50796361","25.0452461,121.5321554"
"87","康璽運動行銷有限公司","猴子體能訓練","02 2531 1228","臺北市中山區松江路276號6樓","monkeytrainingg@gmail.com","09:00:00-22:00:00","","09 運動場館或設施營建業","體適能","50862615","25.0598613,121.5307616"
"88","新動力體能顧問有限公司","New fitness","02 2577 6646","臺北市松山區八德路3段210號4樓","newfitness.wade@gmail.com","09:00:00-22:00:00","","08 運動經紀、管理顧問或行政管理業","運動顧問","85014687","25.0479218,121.5545234"
"89","鑫琞股份有限公司","練一下GYMCUBE","02 2790 6068","臺北市內湖區成功路3段145號B1","","07:00:00-24:00:00","","09 運動場館或設施營建業","健身房","52588115","25.07958,121.5878192"
"90","奧塞利斯運動事業有限公司","奧塞利斯運動事業有限公司","02 2732 6387","臺北市信義區基隆路2段51號地下1樓","","10:00:00-22:00:00","","09 運動場館或設施營建業","健身房","82953188","25.0309321,121.5562803"
"91","超越健康事業有限公司","超越健康事業有限公司","02 2362 0233","臺北市大安區羅斯福路2段81巷1號5樓","","預約制","","09 運動場館或設施營建業","體適能","42990855","25.0259882,121.5216537"
"92","睿盛運動有限公司","PRIDE Football Club","02 2536 6003","臺北市中山區松江路200號2樓","info@pridefc.com.tw","09:30:00-18:30:00","","09 運動場館或設施營建業","足球","69376425","25.0573022,121.5306429"
"93","樂適能健康運動事業有限公司","Joysport 樂適能運動","02 2766 6682","臺北市松山區民生東路5段137巷4弄37號1樓","","10:00:00-21:00:00","","09 運動場館或設施營建業","健身房","55622951","25.059978,121.5607642"
"94","佳佰曆國際有限公司","Curves捷運中山店","02 2555 3149","臺北市大同區承德路1段77之1號2樓","Zhongshan@Curves.com.tw","11:30:00-13:30:00 13:30:00-16:","","09 運動場館或設施營建業","健身房","53927325","25.05228,121.5154953"
"95","森蒲有限公司","Energym","02 3765 1375","臺北市松山區南京東路5段123巷1弄4號1樓","energym.taipei@gmail.com","10:00:00-22:00:00","","08 運動經紀、管理顧問或行政管理業","運動顧問","55675703","25.0519124,121.5583294"
"96","力康健康事業股份有限公司","力康健康","02 2658 0866","臺北市內湖區內湖路1段356-358號2樓","","預約制","","09 運動場館或設施營建業","體適能","53315325","25.081494,121.5682707"
"97","新創智慧健康事業股份有限公司","X tron 新創智慧健身","02 2700 9577","臺北市大安區復興南路2段157號地下","swrbice@xtron.com.tw","07:00:00-24:00:00","","09 運動場館或設施營建業","健身房","43903099","25.028473, 121.543770"
"98","好時良身有限公司","好時良身有限公司","","臺北市大安區羅斯福路2段91號14樓之3","","預約制","","09 運動場館或設施營建業","體適能","82802767","25.025567, 121.524066"
"99","強大肌力訓練中心有限公司","強大肌力訓練中心有限公司","02 2627 5282","臺北市內湖區內湖路1段579號","workinlab2018@gmail.com","17:00:00-22:00:00","","09 運動場館或設施營建業","健身房","55852051","25.081282, 121.572810"
"100","勝立健身業股份有限公司","魔力夢工廠","02 2591 1958","臺北市中山區撫順街16號","magicdreamworkfitnesstp@gmail.com","10:00:00-21:00:00","","09 運動場館或設施營建業","健身房","50797045","25.063702, 121.520328"
"101","艾珈林有限公司","艾珈林有限公司(士林)","02 2832 1300","臺北市士林區中正路287號3樓","","07:00:00-21:30:00","","09 運動場館或設施營建業","瑜珈","52485080","25.094987, 121.524021"
"102","薩摩亞商力博有限公司","怪獸肌力&體能訓練中心","02 2365 3817","臺北市中正區思源街1號","","預約制","","09 運動場館或設施營建業","健身房","24803253","25.012775, 121.530005"
"103","狂潮健身事業有限公司","Fitmania健身狂潮","02 8786 4488","臺北市信義區信義路4段456號地下一樓","fitmania456@gmail.com","08:00:00-23:45:00","","09 運動場館或設施營建業","健身房","82872257","25.033075, 121.558171"
"104","本部槓鈴有限公司","Barbell University","02 8866 6015","臺北市士林區福國路100之3號","j.yao.huang77@gmail.com","10:00:00-22:00:00","","09 運動場館或設施營建業","健身房","50793836","25.102721, 121.521921"
"105","天秤健康事業有限公司","天秤健康事業有限公司","02 28381988","臺北市士林區士東路200巷55號1樓","","11:00:00-20:00:00","","09 運動場館或設施營建業","健身房","55849205","25.110895, 121.534020"
"106","提爾健身有限公司","Refine Fitness 松江南京店","02 2568 4892","臺北市中山區南京東路2段97號地下1樓","","09:00:00-21:00:00","","09 運動場館或設施營建業","體適能","55849768","25.052474, 121.532227"
"107","國揚健康事業有限公司","核心肌地","02 2726 7376","臺北市信義區松德路65號地下層","undergrourdfitness.taipei@gmail.com","07:00:00-24:00:00","","09 運動場館或設施營建業","健身房","82807849","25.038688, 121.576688"
"108","風暴體適能股份有限公司","Hongtai CrossFit","02 2783 0321","臺北市南港區南港路3段215號、217號","info@HongtaiCrossFit.com.tw","07:00:00-22:00:00 06:00:00-22:","","09 運動場館或設施營建業","健身房","50756826","25.0513857,121.5784743"
"109","欣未來股份有限公司","Pro poss","","臺北市大安區忠孝東路4段218之1號3樓 ","","預約制","","09 運動場館或設施營建業","健身房","85132426","25.038258, 121.556396"
"110","藍陽國際有限公司","GYMEFIT","02 8787 8277","臺北市信義區基隆路1段25號1樓","","10:00:00-22:00:00","","09 運動場館或設施營建業","健身房","50868955","25.048583, 121.569112"
"111","柏鑫健康事業股份有限公司","健身工廠 信義場","02 8786 1966","臺北市信義區松壽路22號4樓","","06:00:00-24:00:00","","09 運動場館或設施營建業","健身房","53334913","25.035698, 121.567849"
"112","壹神體育用品有限公司","FIT IN","0926 996 972","臺北市中山區復興北路344號3樓","","學員預約制","","09 運動場館或設施營建業","健身房","42830788","25.059999, 121.543978"
"113","雍天盛國際有限公司","Curves忠孝敦化店","02 2721 8828","臺北市大安區忠孝東路4段250號2樓之3","Dunhua@curves.com.tw","11:00:00-13:30:00 16:00:00-20:","","09 運動場館或設施營建業","健身房","50903019","25.041427, 121.554148"
"114","拿去輪有限公司","無限體育教室","0973 330 682","臺北市內湖區文德路61號","","學員預約制","","09 運動場館或設施營建業","體適能","83807656","25.078845, 121.581744"
"115","力昂智能健身有限公司","河馬力士","02 2563 1725","臺北市中山區南京東路2段100號B1","hippolesgym@gmail.com","07:00:00-23:00:00","","09 運動場館或設施營建業","健身房","50907351","25.052004, 121.531967"
"116","瑪思特健康事業有限公司","瑪思特","02 2728 2166","臺北市信義區大道路49巷11號1樓","masthealth2019@gmail.com","10:00:00-22:00:00","","09 運動場館或設施營建業","體適能","82812619","25.042082, 121.582616"
"117","跑者肌地有限公司","跑者肌地有限公司","0930 792 287","臺北市中山區新生北路三段84巷47號1樓","","預約制","","09 運動場館或設施營建業","體適能","50996712","25.067760931008063, 121.52607848426315"
"118","專屬健議有限公司","專屬健議","02 2821 3120","臺北市北投區明德路11號1樓","","09:00:00-22:00:00","","09 運動場館或設施營建業","健身房","50877379","25.107042, 121.517160"
"119","宸光體適能有限公司","自由重量","02 2556 2056","臺北市大同區鄭州路119號地下1層","","24HR","","09 運動場館或設施營建業","健身房","54956987","25.050430, 121.510979"
"120","跨越體適能有限公司","體育客和平店","02 8732 6645","臺北市信義區和平東路3段333號地下","1st.Fitness.hp@gmail.com","07:00:00-22:00:00","","09 運動場館或設施營建業","健身房","24747555","25.021111, 121.556375"
"121","碩妃健康事業股份有限公司","SOFIT","02 7725 9899","臺北市中山區民權東路3段2號15樓","sofit.hrm@gmail.com","私人運動班 預約制","","09 運動場館或設施營建業","健身房","50867695","25.062246, 121.537830"
"122","豪漢實業股份有限公司","好好建身","02 2395 1385","臺北市大安區信義路2段36號","fit4life@.howhow.com","11:00:00-22:00:00","","09 運動場館或設施營建業","健身房","82808848","25.034691, 121.525577"
"123","皇家官邸聯誼會","Dynasty","02 2883 8333","臺北市士林區中山北路5段500號1樓","serbice@drnasty.tw","07:00:00-23:00:00","","09 運動場館或設施營建業","健身房","50768153","25.093358, 121.528211"
"124","愛滑雪股份有限公司","愛滑雪股份有限公司","","臺北市內湖區內湖路1段70號1樓","","11:00:00-21:00:00","","09 運動場館或設施營建業","極限運動","82802838","25.083668, 121.562311"
"125","寰邦股份有限公司","Routine Fitness","02 2552 3000","臺北市大同區重慶北路1段1-1號3樓","ops@routinefitness.com","私人運動班 預約制","","09 運動場館或設施營建業","健身房","82870477","25.049766, 121.513790"
"126","核心引力科技有限公司","Renew Gravity bay 核心引力健身工作室","02 8772 7887","臺北市松山區南京東路3段338巷3號1樓","renewgravitybay@gmail.com","11:30:00-22:00:00","","09 運動場館或設施營建業","健身房","52491858","25.051704, 121.547701"
"127","絲瓜運動股份有限公司","絲瓜運動","02 2777 1109","臺北市中山區八德路2段309號","squatfitnesstw@gmail.com","08:00:00-22:00:00","","09 運動場館或設施營建業","體適能","83460177","25.047470, 121.542645"
"128","觀示苑股份有限公司天母分公司","觀示苑SPACE YOGA","","臺北市士林區天母東路43巷5號1樓","","06:00:00-23:00:00","","09 運動場館或設施營建業","瑜珈","28203379","25.118789, 121.532282"
"129","柏文健康事業股份有限公司台北健康分公司","健身工廠健康場","02 2762 7666","臺北市松山區健康路156號地下1樓","","06:00:00-22:00:00","","09 運動場館或設施營建業","健身房","54913995","25.053621, 121.557196"
"130","全真概念健康事業股份有限公司環亞分公司","TrueYoga 全真概念環亞瑜珈健身館","02 2716 1234","臺北市松山區南京東路3段337號9樓-10樓","","06:00:00-23:00:00","","09 運動場館或設施營建業","健身房","28215376","25.052142, 121.548289"
"131","全真概念健康事業股份有限公司敦南分公司","Yoga edition","02 7700 7088","臺北市大安區忠孝東路4段151號3樓","dnrecet@trueyoga.com.tw","06:00:00-23:00:00","","09 運動場館或設施營建業","瑜珈","82802886","25.041799, 121.549772"
